title,price,id,shop,comments,brand,memory,storage,screen_size,processor,gpu
荣耀MagicBook X16战斗版【国家补贴20%电脑】12代酷睿标压i5 16+512G 16吋高清护眼轻薄本笔记本...,28.0,100074955690,荣耀京东自营旗舰店,,荣耀,,512.0,,其他,集成显卡
惠普（HP）暗影精灵10【国家补贴20%】16.1英寸游戏本 笔记本电脑(酷睿14代i7-14650HX RTX4070...,89.0,100129879812,惠普（HP）OMEN暗影精灵京东自营旗舰店,,惠普,,,,i7,RTX4070
华为MateBook D 16 SE 2024笔记本电脑 国家补贴20% 13代酷睿标压处理器 i5 16G 1T 皓月...,49.0,100109860626,华为京东自营官方旗舰店,,华为,16.0,1024.0,,其他,集成显卡
华为MateBook D 16 SE 2024笔记本电脑 国家补贴20% 13代酷睿标压处理器 i5 16G 512G ...,39.0,100078277728,华为京东自营官方旗舰店,,华为,16.0,512.0,,其他,集成显卡
惠普（HP）【国家补贴20%】战66七代 AMD锐龙16英寸轻薄笔记本电脑(高性能R7 16G 1T 2.5K高色域低蓝...,49.0,100095583537,惠普京东自营官方旗舰店,,惠普,16.0,1024.0,16.0,其他,集成显卡
华为MateBook D 14 SE 2024笔记本电脑 国家补贴20% 13代酷睿/14英寸护眼全面屏i5 16G 5...,39.0,100071356599,华为京东自营官方旗舰店,,华为,16.0,,14.0,其他,集成显卡
ThinkPad【国家补贴20%】X1 Carbon Aura AI 元启版酷睿Ultra7-258V 商务办公笔记本电...,199.0,100156767260,ThinkPad京东自营旗舰店,,ThinkPad,,,,ultra,集成显卡
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【AI终...,35.0,10107525100533,HALIWEI旗舰店,,其他,,,,其他,集成显卡
联想笔记本电脑小新Pro16超能本 高性能轻薄本锐龙7 8745H 24G 1T 2.5K高刷屏 游戏【国家补贴20%】,59.0,100130599330,联想京东自营旗舰店,,联想,,1024.0,,其他,集成显卡
华为MateBook 14 酷睿 Ultra笔记本电脑 国家补贴20% 2.8K OLED触控手写屏 Ultra 5 1...,69.0,100110556636,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
联想拯救者Y7000P 游戏笔记本电脑14代i7-14650HX 16G 1T RTX4060 2.5K 165Hz电竞...,89.0,100087543382,联想京东自营旗舰店,,联想,16.0,1024.0,,i7,RTX4060
联想笔记本电脑小新16SE 2025 高性能轻薄本标压酷睿i5 16G 512G可扩展内存硬盘 办公【国家补贴20%】,39.0,100138199905,联想京东自营旗舰店,,联想,16.0,512.0,,其他,集成显卡
ThinkPad【国家补贴20%】X1 Carbon AI 酷睿Ultra7 全互联商务办公笔记本电脑32G 1T 2....,199.0,100079680032,ThinkPad京东自营旗舰店,,ThinkPad,32.0,1024.0,,ultra,集成显卡
联想笔记本电脑 小新14SE 2025 高性能轻薄本标压酷睿i5 16G 512G可扩展内存硬盘 办公【国家补贴20%】,39.0,100171614254,联想京东自营旗舰店,,联想,16.0,512.0,,其他,集成显卡
ThinkPad【国家补贴20%】联想笔记本电脑ThinkBook 14+ 锐龙版 AI全能本 R7-8845H 32G...,59.0,100088826731,ThinkPad京东自营旗舰店,,联想,32.0,,,r7,集成显卡
HALIWEI国行【2025款英特尔+酷睿i7】笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 【AI终...,36.0,10107525100540,HALIWEI旗舰店,,其他,,,,其他,集成显卡
惠普（HP）【国家补贴20%】战66七代 AMD锐龙14英寸轻薄笔记本电脑(高性能长续航R5 16G 512G 低蓝光护...,39.0,100107714456,惠普京东自营官方旗舰店,,惠普,16.0,512.0,14.0,其他,集成显卡
华为MateBook D 14 SE 2024笔记本电脑 国家补贴20% 13代酷睿/14英寸护眼全面屏i5 16G 1...,49.0,100090196580,华为京东自营官方旗舰店,,华为,16.0,,14.0,其他,集成显卡
微软（Microsoft）国家补贴 全新Surface Laptop第7版 骁龙X Plus 16G 256G亮铂金 轻...,78.0,100107077825,微软京东自营官方旗舰店,,微软,16.0,256.0,,其他,集成显卡
联想笔记本电脑小新Pro14 AI超能本 高性能轻薄本酷睿Ultra5 32G 1T 2.8K高刷屏 游戏【国家补贴20...,59.0,100109152429,联想京东自营旗舰店,,联想,32.0,1024.0,,ultra,集成显卡
ThinkPad【国家补贴20%】T14p AI PC 酷睿Ultra9 高性能工程师本笔记本电脑 32G 1TB 3K...,99.0,100107931846,ThinkPad京东自营旗舰店,,ThinkPad,,1024.0,,ultra,集成显卡
惠普HP【国家补贴20%】星Book Pro 14 轻薄笔记本电脑(酷睿i5-13500H 16G 1TB 2.2K屏 ...,49.0,100048377766,惠普京东自营旗舰店,,惠普,,1024.0,,i5,集成显卡
联想拯救者Y7000P AI元启 电竞游戏笔记本电脑i7-14700HX 16G 1T RTX4070 2.5K165H...,99.0,100122032385,联想京东自营旗舰店,,联想,16.0,1024.0,,i7,RTX4070
荣耀笔记本X16 2025 战斗版【国家补贴20%电脑】13代酷睿标压i7 16G 1T 16吋高清护眼轻薄本笔记本电脑,39.0,100147681208,荣耀京东自营旗舰店,,荣耀,16.0,1024.0,,其他,集成显卡
微软（Microsoft）国家补贴 全新Surface Laptop第7版 骁龙X Elite 16G 512G亮铂金 ...,98.0,100115333288,微软京东自营官方旗舰店,,微软,16.0,512.0,,其他,集成显卡
华硕天选5 Pro 国家补贴20% 14核酷睿i7 16英寸游戏本 笔记本电脑(i7-13650HX 16G 1T RT...,89.0,100084635382,华硕京东自营官方旗舰店,,华硕,16.0,1024.0,16.0,i7,集成显卡
联想笔记本电脑小新Pro14超能本 高性能轻薄本锐龙7 8745H 24G 1T 2.8K OLED高刷 游戏【国家补贴...,59.0,100110858143,联想京东自营旗舰店,,联想,,1024.0,,其他,集成显卡
ThinkPad【国家补贴20%】联想ThinkBook 14 英特尔酷睿i5 轻薄办公笔记本电脑13代i5 16G 1...,49.0,100062061094,ThinkPad京东自营旗舰店,,联想,16.0,,,其他,集成显卡
戴尔（DELL）国家补贴 笔记本电脑 灵越14PLUS-7440 14英寸2.2K高性能轻薄本商务办公本(i7-1362...,49.0,100145774898,戴尔京东自营官方旗舰店,,戴尔,,,14.0,其他,集成显卡
华为MateBook 14 酷睿 Ultra笔记本电脑 国家补贴20% 2.8K OLED触控手写屏 Ultra 5 3...,69.0,100110556632,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
微软（Microsoft）国家补贴 全新Surface Laptop第7版 骁龙X Elite 16G 512G亮铂金 ...,98.0,100115333288,微软京东自营官方旗舰店,,微软,16.0,512.0,,其他,集成显卡
戴尔（DELL）国家补贴 笔记本电脑 灵越3530 15.6英寸轻薄本商务办公本酷睿i5 16G 512GB 锐炬显卡1...,39.0,100104981510,戴尔京东自营官方旗舰店,,戴尔,16.0,512.0,15.6,其他,Intel
ThinkPad联想E16笔记本电脑 E15升级版 16英寸商务办公学生轻薄本 AI 2024英特尔酷睿Ultra处理器...,49.0,10088560463108,ThinkPad京东自营官方旗舰店,,联想,,,16.0,其他,集成显卡
ThinkPad【国家补贴20%】联想笔记本电脑ThinkBook 16+ AI全能本 英特尔酷睿Ultra5 32G ...,67.0,100083603223,ThinkPad京东自营旗舰店,,联想,32.0,,,ultra,集成显卡
H&U&W国行【2025新英特尔+酷睿i7】笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 【15代1...,12.0,10038237747026,H&U&W旗舰店,,其他,,,,其他,集成显卡
KHXZ国行新品【2025款英特尔可选酷睿】金属笔记本电脑轻薄本大学生上网课设计学习商务办公AI游戏手提 高配英特尔+1...,10.0,10078916397544,晶品必优电脑办公专营店,,其他,,,,其他,集成显卡
戴睿（dere）国家补贴爆款16英寸高性能酷睿i9笔记本电脑自营2.5K屏轻薄便携设计商务办公学生游戏本32G/1TB,30.0,100068523527,DERE戴睿京东自营旗舰店,,其他,,1024.0,16.0,其他,集成显卡
ThinkPad【国家补贴20%】联想笔记本电脑ThinkBook 14+ AI全能本 英特尔酷睿Ultra7 14.5...,79.0,100089733226,ThinkPad京东自营旗舰店,,联想,,,,ultra,集成显卡
华为MateBook X Pro酷睿 Ultra 国家补贴2000元 微绒典藏版笔记本电脑 980克超轻Ultra7 3...,199.0,100104373618,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
华为MateBook 14 酷睿 Ultra笔记本电脑 国家补贴20% 2.8K OLED触控手写屏 Ultra 5 3...,69.0,100110556644,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
戴尔（DELL）国家补贴 笔记本电脑 灵越16PLUS-7640 16英寸2.5K高性能轻薄本商务办公本(i7-1362...,59.0,100145774922,戴尔京东自营官方旗舰店,,戴尔,,,16.0,其他,集成显卡
Apple/苹果AI笔记本/2024 MacBook Air 13.6英寸 M2 (8+8核) 16G 256G深空灰色...,69.0,100125441857,Apple产品京东自营旗舰店,,苹果,16.0,256.0,13.6,m2,Apple
方正2024新款笔记本电脑15.6英寸12G高性能N95商务办公本15.6英寸轻薄便携512G大学生网课娱乐手提电脑,19.0,100140809674,方正Founder京东自营旗舰店,,其他,,512.0,15.6,其他,集成显卡
华为MateBook 14 酷睿 Ultra笔记本电脑 国家补贴20% 2.8K OLED触控手写屏 Ultra 7 3...,89.0,100110556642,华为京东自营官方旗舰店,,华为,,,,ultra,集成显卡
